"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"15948","Full-time education not ceased - Other","Both sexes","2011","Waterford County","Technical/vocational",NA
"15949","Total persons","Male","2011","Waterford County","Technical/vocational",1806
"15950","Total whose full-time education has ceased","Male","2011","Waterford County","Technical/vocational",1806
"15951","Under 15 years","Male","2011","Waterford County","Technical/vocational",27
"15952","15 years","Male","2011","Waterford County","Technical/vocational",72
"15953","16 years","Male","2011","Waterford County","Technical/vocational",200
"15954","17 years","Male","2011","Waterford County","Technical/vocational",186
"15955","18 years","Male","2011","Waterford County","Technical/vocational",302
"15956","19 years","Male","2011","Waterford County","Technical/vocational",168
"15957","20 years","Male","2011","Waterford County","Technical/vocational",158
"15958","21 years","Male","2011","Waterford County","Technical/vocational",70
"15959","22 years","Male","2011","Waterford County","Technical/vocational",52
"15960","23 years","Male","2011","Waterford County","Technical/vocational",21
"15961","24 years","Male","2011","Waterford County","Technical/vocational",15
"15962","25 years and over","Male","2011","Waterford County","Technical/vocational",60
"15963","Not stated","Male","2011","Waterford County","Technical/vocational",475
"15964","Total whose full-time education has not ceased","Male","2011","Waterford County","Technical/vocational",NA
"15965","Full-time education not ceased - Total at school, university, etc.","Male","2011","Waterford County","Technical/vocational",NA
"15966","Full-time education not ceased - Other","Male","2011","Waterford County","Technical/vocational",NA
"15967","Total persons","Female","2011","Waterford County","Technical/vocational",2465
"15968","Total whose full-time education has ceased","Female","2011","Waterford County","Technical/vocational",2465
"15969","Under 15 years","Female","2011","Waterford County","Technical/vocational",21
"15970","15 years","Female","2011","Waterford County","Technical/vocational",46
"15971","16 years","Female","2011","Waterford County","Technical/vocational",142
"15972","17 years","Female","2011","Waterford County","Technical/vocational",265
"15973","18 years","Female","2011","Waterford County","Technical/vocational",470
"15974","19 years","Female","2011","Waterford County","Technical/vocational",336
"15975","20 years","Female","2011","Waterford County","Technical/vocational",229
"15976","21 years","Female","2011","Waterford County","Technical/vocational",105
"15977","22 years","Female","2011","Waterford County","Technical/vocational",36
"15978","23 years","Female","2011","Waterford County","Technical/vocational",28
"15979","24 years","Female","2011","Waterford County","Technical/vocational",19
"15980","25 years and over","Female","2011","Waterford County","Technical/vocational",128
"15981","Not stated","Female","2011","Waterford County","Technical/vocational",640
"15982","Total whose full-time education has not ceased","Female","2011","Waterford County","Technical/vocational",NA
"15983","Full-time education not ceased - Total at school, university, etc.","Female","2011","Waterford County","Technical/vocational",NA
"15984","Full-time education not ceased - Other","Female","2011","Waterford County","Technical/vocational",NA
"15985","Total persons","Both sexes","2011","Connacht","Technical/vocational",29783
"15986","Total whose full-time education has ceased","Both sexes","2011","Connacht","Technical/vocational",29783
"15987","Under 15 years","Both sexes","2011","Connacht","Technical/vocational",345
"15988","15 years","Both sexes","2011","Connacht","Technical/vocational",751
"15989","16 years","Both sexes","2011","Connacht","Technical/vocational",2275
"15990","17 years","Both sexes","2011","Connacht","Technical/vocational",2900
"15991","18 years","Both sexes","2011","Connacht","Technical/vocational",5891
"15992","19 years","Both sexes","2011","Connacht","Technical/vocational",3643
"15993","20 years","Both sexes","2011","Connacht","Technical/vocational",2676
"15994","21 years","Both sexes","2011","Connacht","Technical/vocational",1362
"15995","22 years","Both sexes","2011","Connacht","Technical/vocational",816
"15996","23 years","Both sexes","2011","Connacht","Technical/vocational",361
"15997","24 years","Both sexes","2011","Connacht","Technical/vocational",300
"15998","25 years and over","Both sexes","2011","Connacht","Technical/vocational",1127
"15999","Not stated","Both sexes","2011","Connacht","Technical/vocational",7336
"16000","Total whose full-time education has not ceased","Both sexes","2011","Connacht","Technical/vocational",NA
"16001","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Connacht","Technical/vocational",NA
"16002","Full-time education not ceased - Other","Both sexes","2011","Connacht","Technical/vocational",NA
"16003","Total persons","Male","2011","Connacht","Technical/vocational",14039
"16004","Total whose full-time education has ceased","Male","2011","Connacht","Technical/vocational",14039
"16005","Under 15 years","Male","2011","Connacht","Technical/vocational",219
"16006","15 years","Male","2011","Connacht","Technical/vocational",472
"16007","16 years","Male","2011","Connacht","Technical/vocational",1364
"16008","17 years","Male","2011","Connacht","Technical/vocational",1340
"16009","18 years","Male","2011","Connacht","Technical/vocational",2591
"16010","19 years","Male","2011","Connacht","Technical/vocational",1424
"16011","20 years","Male","2011","Connacht","Technical/vocational",1259
"16012","21 years","Male","2011","Connacht","Technical/vocational",726
"16013","22 years","Male","2011","Connacht","Technical/vocational",395
"16014","23 years","Male","2011","Connacht","Technical/vocational",187
"16015","24 years","Male","2011","Connacht","Technical/vocational",168
"16016","25 years and over","Male","2011","Connacht","Technical/vocational",426
"16017","Not stated","Male","2011","Connacht","Technical/vocational",3468
"16018","Total whose full-time education has not ceased","Male","2011","Connacht","Technical/vocational",NA
"16019","Full-time education not ceased - Total at school, university, etc.","Male","2011","Connacht","Technical/vocational",NA
"16020","Full-time education not ceased - Other","Male","2011","Connacht","Technical/vocational",NA
"16021","Total persons","Female","2011","Connacht","Technical/vocational",15744
"16022","Total whose full-time education has ceased","Female","2011","Connacht","Technical/vocational",15744
"16023","Under 15 years","Female","2011","Connacht","Technical/vocational",126
"16024","15 years","Female","2011","Connacht","Technical/vocational",279
"16025","16 years","Female","2011","Connacht","Technical/vocational",911
"16026","17 years","Female","2011","Connacht","Technical/vocational",1560
"16027","18 years","Female","2011","Connacht","Technical/vocational",3300
"16028","19 years","Female","2011","Connacht","Technical/vocational",2219
"16029","20 years","Female","2011","Connacht","Technical/vocational",1417
"16030","21 years","Female","2011","Connacht","Technical/vocational",636
"16031","22 years","Female","2011","Connacht","Technical/vocational",421
"16032","23 years","Female","2011","Connacht","Technical/vocational",174
"16033","24 years","Female","2011","Connacht","Technical/vocational",132
"16034","25 years and over","Female","2011","Connacht","Technical/vocational",701
"16035","Not stated","Female","2011","Connacht","Technical/vocational",3868
"16036","Total whose full-time education has not ceased","Female","2011","Connacht","Technical/vocational",NA
"16037","Full-time education not ceased - Total at school, university, etc.","Female","2011","Connacht","Technical/vocational",NA
"16038","Full-time education not ceased - Other","Female","2011","Connacht","Technical/vocational",NA
"16039","Total persons","Both sexes","2011","Galway","Technical/vocational",13356
"16040","Total whose full-time education has ceased","Both sexes","2011","Galway","Technical/vocational",13356
"16041","Under 15 years","Both sexes","2011","Galway","Technical/vocational",121
"16042","15 years","Both sexes","2011","Galway","Technical/vocational",282
"16043","16 years","Both sexes","2011","Galway","Technical/vocational",878
"16044","17 years","Both sexes","2011","Galway","Technical/vocational",1190
"16045","18 years","Both sexes","2011","Galway","Technical/vocational",2553
"16046","19 years","Both sexes","2011","Galway","Technical/vocational",1698
"16047","20 years","Both sexes","2011","Galway","Technical/vocational",1307
"16048","21 years","Both sexes","2011","Galway","Technical/vocational",657
"16049","22 years","Both sexes","2011","Galway","Technical/vocational",382
"16050","23 years","Both sexes","2011","Galway","Technical/vocational",194
"16051","24 years","Both sexes","2011","Galway","Technical/vocational",143
"16052","25 years and over","Both sexes","2011","Galway","Technical/vocational",540
"16053","Not stated","Both sexes","2011","Galway","Technical/vocational",3411
"16054","Total whose full-time education has not ceased","Both sexes","2011","Galway","Technical/vocational",NA
